"#OTU ID"	"taxonomy"
"eadc077afa9f76ebf04d47ce187d2ada"	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes"
"dba3f8b198d159c795baa806e19d7ff2"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;bovis"
"16b87e152205402b86a4bd9441b0dd8f"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pluranimalium"
"fd16a86fa5fc3d45c6a336e6bffdfc97"	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes"
"df21a8fdaab37a016b8cee00bda79aae"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;Unclassified"
"4e0b219607afd881691a58e06f666838"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;rhizophila"
"1f3e9ce49ee157770c803e0adb8291a6"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;Unclassified"
"4b9969b92910aa9043719fc9295bc359"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pluranimalium"
"e47660136989d61a8959fee1f374751d"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;palaticanis"
"aa462fa433f4f8dabe0441e39d9d430c"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;asahii"
"81db0e750a4eaed3550d5a4ab131ae47"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;psychrotolerans"
"14a966af281b1b3f92629b6072f235d9"	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;granulosum"
"b22578ba95bee94941e555c7db6eb197"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Unclassified"
"ccd08e1524c4418c303a1d2633206cae"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;Unclassified"
"9b0ad6182be01c87fb3eb9c18aa23dd2"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;extorquens"
"d63ae0ff1cdc6707dc851772a8618322"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Unclassified"
"246167e02765e37c8611b7f941b300e8"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;suis"
"9c6cbba2d239959822eeb1b0d68d1b36"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus;Unclassified"
"bacdcf3d3dfefd83c5fe889b6b69472d"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Unclassified"
"7d6060957c55d13ed694f99f3ecb053d"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;epidermidis"
"c7fa3b1a0e65f65448523491e27d326a"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;rhizosphaerae"
"e380dc22f84083ed478cd1ba9252904e"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Unclassified"
"e2e38ba0520350f1a531759297b2c841"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;palaticanis"
"298c3f55c35c12f9b5e0da8349b15602"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;cinerea"
"ccd55cf64d2282ec701d069b2f626666"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;Unclassified"
"0547a04d85defc108497dec69631bf97"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pluranimalium"
"2a2bc37b98db3a9d47d5d293f6288901"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;Unclassified"
"a9905ef9cd6d83f196b08e7f1e93ef01"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter;Unclassified"
"f6fb6ca9820d1e86fb7fa625dbc40276"	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Unclassified"
"394667854fcde1266671c924c8a6ac43"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Unclassified"
"f3c7f4257ea9fb571e1531d93e3869c7"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Unclassified"
"e11d9f8ccb68d7ad98d30a5b24b41ab7"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Pseudobacteroides;Unclassified"
