"Sequence","reads.in","reads.out","SampleID"
"RMB_AMB_BAL_LCd.noprimer.fastq.gz",131478,130897,"RMB_AMB_BAL_LCd"
"RMB_AMB_BAL_LCr.noprimer.fastq.gz",5194,5160,"RMB_AMB_BAL_LCr"
"RMB_AMB_BAL_LD.noprimer.fastq.gz",4287,4279,"RMB_AMB_BAL_LD"
"RMB_AMB_BAL_RCd.noprimer.fastq.gz",37,36,"RMB_AMB_BAL_RCd"
"RMB_AMB_BAL_RCr.noprimer.fastq.gz",13865,13310,"RMB_AMB_BAL_RCr"
"RMB_AMB_BAL_RD.noprimer.fastq.gz",21741,21703,"RMB_AMB_BAL_RD"
"RMB_AMB_NPL.noprimer.fastq.gz",8424,8342,"RMB_AMB_NPL"
"RMB_AMB_TTA.noprimer.fastq.gz",41877,39149,"RMB_AMB_TTA"
"RMB_CAS_BAL_LCd.noprimer.fastq.gz",3009,2951,"RMB_CAS_BAL_LCd"
"RMB_CAS_BAL_LCr.noprimer.fastq.gz",15081,14929,"RMB_CAS_BAL_LCr"
"RMB_CAS_BAL_LD.noprimer.fastq.gz",10465,8301,"RMB_CAS_BAL_LD"
"RMB_CAS_BAL_RCd.noprimer.fastq.gz",1994,1992,"RMB_CAS_BAL_RCd"
"RMB_CAS_BAL_RCr.noprimer.fastq.gz",5912,5895,"RMB_CAS_BAL_RCr"
"RMB_CAS_BAL_RD.noprimer.fastq.gz",834,733,"RMB_CAS_BAL_RD"
"RMB_CAS_NPL.noprimer.fastq.gz",52680,52374,"RMB_CAS_NPL"
"RMB_CAS_TTA.noprimer.fastq.gz",19501,16273,"RMB_CAS_TTA"
"RMB_PUR_BAL_LCd.noprimer.fastq.gz",9810,9191,"RMB_PUR_BAL_LCd"
"RMB_PUR_BAL_LCr.noprimer.fastq.gz",2687,2681,"RMB_PUR_BAL_LCr"
"RMB_PUR_BAL_LD.noprimer.fastq.gz",56268,51072,"RMB_PUR_BAL_LD"
"RMB_PUR_BAL_RCd.noprimer.fastq.gz",9561,9550,"RMB_PUR_BAL_RCd"
"RMB_PUR_BAL_RCr.noprimer.fastq.gz",2344,2293,"RMB_PUR_BAL_RCr"
"RMB_PUR_BAL_RD.noprimer.fastq.gz",21304,21040,"RMB_PUR_BAL_RD"
"RMB_PUR_NPL.noprimer.fastq.gz",101705,101307,"RMB_PUR_NPL"
"RMB_PUR_TTA.noprimer.fastq.gz",69844,64306,"RMB_PUR_TTA"
"RMB_VIN_BAL_LCd.noprimer.fastq.gz",112491,109078,"RMB_VIN_BAL_LCd"
"RMB_VIN_BAL_LCr.noprimer.fastq.gz",37026,32975,"RMB_VIN_BAL_LCr"
"RMB_VIN_BAL_LD.noprimer.fastq.gz",11,10,"RMB_VIN_BAL_LD"
"RMB_VIN_BAL_RCd.noprimer.fastq.gz",7561,6244,"RMB_VIN_BAL_RCd"
"RMB_VIN_BAL_RCr.noprimer.fastq.gz",10468,9869,"RMB_VIN_BAL_RCr"
"RMB_VIN_BAL_RD.noprimer.fastq.gz",109056,103017,"RMB_VIN_BAL_RD"
"RMB_VIN_NPL.noprimer.fastq.gz",97370,96999,"RMB_VIN_NPL"
"unknown.noprimer.fastq.gz",2288,2203,"unknown"
