Taxa	RMB_AMB_BAL_LCd.filtered.fastq.gz	RMB_AMB_BAL_LCr.filtered.fastq.gz	RMB_AMB_BAL_LD.filtered.fastq.gz	RMB_AMB_BAL_RCd.filtered.fastq.gz	RMB_AMB_BAL_RCr.filtered.fastq.gz	RMB_AMB_BAL_RD.filtered.fastq.gz	RMB_AMB_NPL.filtered.fastq.gz	RMB_AMB_TTA.filtered.fastq.gz	RMB_CAS_BAL_LCd.filtered.fastq.gz	RMB_CAS_BAL_LCr.filtered.fastq.gz	RMB_CAS_BAL_LD.filtered.fastq.gz	RMB_CAS_BAL_RCd.filtered.fastq.gz	RMB_CAS_BAL_RCr.filtered.fastq.gz	RMB_CAS_BAL_RD.filtered.fastq.gz	RMB_CAS_NPL.filtered.fastq.gz	RMB_CAS_TTA.filtered.fastq.gz	RMB_PUR_BAL_LCd.filtered.fastq.gz	RMB_PUR_BAL_LCr.filtered.fastq.gz	RMB_PUR_BAL_LD.filtered.fastq.gz	RMB_PUR_BAL_RCd.filtered.fastq.gz	RMB_PUR_BAL_RCr.filtered.fastq.gz	RMB_PUR_BAL_RD.filtered.fastq.gz	RMB_PUR_NPL.filtered.fastq.gz	RMB_PUR_TTA.filtered.fastq.gz	RMB_VIN_BAL_LCd.filtered.fastq.gz	RMB_VIN_BAL_LCr.filtered.fastq.gz	RMB_VIN_BAL_LD.filtered.fastq.gz	RMB_VIN_BAL_RCd.filtered.fastq.gz	RMB_VIN_BAL_RCr.filtered.fastq.gz	RMB_VIN_BAL_RD.filtered.fastq.gz	RMB_VIN_NPL.filtered.fastq.gz
c19a96e2287b73281f050af359ff8afe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3bb85f2a89b1185a2bd10226b383e29e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c1654ca1d8506044eb8d0bff5da2dd6c	0	0	0	0	0	0	0	13560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
652058e310c2822a4fb41657b5dc0e22	0	0	0	0	0	0	0	11612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6c2f632d7eeb6de57debe7fe480b06b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8629	0	0	0	0	0	0	0	0
0d42212a4a5ebb3f70c4e3cd9a3c484b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8143	0	0	0	0	0	0	0	0
b5526bb0ab6041055a868b8354dc0e34	8008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
875738cae1c10d47e308d434f8a3a5c6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7978	0	0	0	0	0	0	0	0
d59d52b35c13fce6d831afe16a00ed81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7567	0	0	0	0	0	0	0	0
738bb772588511094cd3173355f155ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7424	0	0	0	0	0	0	0	0
