"Sequence","reads.in","reads.out","SampleID"
"RMB_AMB_BAL_LCd.fastq.gz",153865,147144,"RMB_AMB_BAL_LCd"
"RMB_AMB_BAL_LCr.fastq.gz",6470,5919,"RMB_AMB_BAL_LCr"
"RMB_AMB_BAL_LD.fastq.gz",5350,5011,"RMB_AMB_BAL_LD"
"RMB_AMB_BAL_RCd.fastq.gz",130,86,"RMB_AMB_BAL_RCd"
"RMB_AMB_BAL_RCr.fastq.gz",33537,30868,"RMB_AMB_BAL_RCr"
"RMB_AMB_BAL_RD.fastq.gz",24041,23338,"RMB_AMB_BAL_RD"
"RMB_AMB_NPL.fastq.gz",13462,11256,"RMB_AMB_NPL"
"RMB_AMB_TTA.fastq.gz",56710,52999,"RMB_AMB_TTA"
"RMB_CAS_BAL_LCd.fastq.gz",3559,3266,"RMB_CAS_BAL_LCd"
"RMB_CAS_BAL_LCr.fastq.gz",17318,16587,"RMB_CAS_BAL_LCr"
"RMB_CAS_BAL_LD.fastq.gz",19184,12547,"RMB_CAS_BAL_LD"
"RMB_CAS_BAL_RCd.fastq.gz",2914,2260,"RMB_CAS_BAL_RCd"
"RMB_CAS_BAL_RCr.fastq.gz",6756,6380,"RMB_CAS_BAL_RCr"
"RMB_CAS_BAL_RD.fastq.gz",18830,8518,"RMB_CAS_BAL_RD"
"RMB_CAS_NPL.fastq.gz",69528,65439,"RMB_CAS_NPL"
"RMB_CAS_TTA.fastq.gz",48361,24734,"RMB_CAS_TTA"
"RMB_PUR_BAL_LCd.fastq.gz",11025,10552,"RMB_PUR_BAL_LCd"
"RMB_PUR_BAL_LCr.fastq.gz",3836,3018,"RMB_PUR_BAL_LCr"
"RMB_PUR_BAL_LD.fastq.gz",69651,62737,"RMB_PUR_BAL_LD"
"RMB_PUR_BAL_RCd.fastq.gz",12928,10800,"RMB_PUR_BAL_RCd"
"RMB_PUR_BAL_RCr.fastq.gz",2830,2579,"RMB_PUR_BAL_RCr"
"RMB_PUR_BAL_RD.fastq.gz",24344,23616,"RMB_PUR_BAL_RD"
"RMB_PUR_NPL.fastq.gz",126907,121267,"RMB_PUR_NPL"
"RMB_PUR_TTA.fastq.gz",79416,76960,"RMB_PUR_TTA"
"RMB_VIN_BAL_LCd.fastq.gz",129473,125458,"RMB_VIN_BAL_LCd"
"RMB_VIN_BAL_LCr.fastq.gz",50698,42844,"RMB_VIN_BAL_LCr"
"RMB_VIN_BAL_LD.fastq.gz",84,16,"RMB_VIN_BAL_LD"
"RMB_VIN_BAL_RCd.fastq.gz",11346,8565,"RMB_VIN_BAL_RCd"
"RMB_VIN_BAL_RCr.fastq.gz",14972,11713,"RMB_VIN_BAL_RCr"
"RMB_VIN_BAL_RD.fastq.gz",120146,116939,"RMB_VIN_BAL_RD"
"RMB_VIN_NPL.fastq.gz",113969,108353,"RMB_VIN_NPL"
