Sample	Well	Horse	Sample_Type	Location	Age	Sex	Breed
RMB_VIN_NPL	A1	VIN	NPL	NPL	11	MC	Thoroughbred
RMB_VIN_BAL_LCr	B1	VIN	BAL	LCr	11	MC	Thoroughbred
RMB_VIN_BAL_LCd	C1	VIN	BAL	LCd	11	MC	Thoroughbred
RMB_VIN_BAL_LD	D1	VIN	BAL	LD	11	MC	Thoroughbred
RMB_VIN_BAL_RCr	E1	VIN	BAL	RCr	11	MC	Thoroughbred
RMB_VIN_BAL_RCd	F1	VIN	BAL	RCd	11	MC	Thoroughbred
RMB_VIN_BAL_RD	G1	VIN	BAL	RD	11	MC	Thoroughbred
RMB_CAS_NPL	H1	CAS	NPL	NPL	11	MC	Oldenburg
RMB_CAS_TTA	A2	CAS	TTA	TTA	11	MC	Oldenburg
RMB_CAS_BAL_LCr	B2	CAS	BAL	LCr	11	MC	Oldenburg
RMB_CAS_BAL_LCd	C2	CAS	BAL	LCd	11	MC	Oldenburg
RMB_CAS_BAL_LD	D2	CAS	BAL	LD	11	MC	Oldenburg
RMB_CAS_BAL_RCr	E2	CAS	BAL	RCr	11	MC	Oldenburg
RMB_CAS_BAL_RCd	F2	CAS	BAL	RCd	11	MC	Oldenburg
RMB_CAS_BAL_RD	G2	CAS	BAL	RD	11	MC	Oldenburg
RMB_PUR_NPL	H2	PUR	NPL	NPL	25	FI	Warmblood
RMB_PUR_TTA	A3	PUR	TTA	TTA	25	FI	Warmblood
RMB_PUR_BAL_LCr	B3	PUR	BAL	LCr	25	FI	Warmblood
RMB_PUR_BAL_LCd	C3	PUR	BAL	LCd	25	FI	Warmblood
RMB_PUR_BAL_LD	D3	PUR	BAL	LD	25	FI	Warmblood
RMB_PUR_BAL_RCr	E3	PUR	BAL	RCr	25	FI	Warmblood
RMB_PUR_BAL_RCd	F3	PUR	BAL	RCd	25	FI	Warmblood
RMB_PUR_BAL_RD	G3	PUR	BAL	RD	25	FI	Warmblood
RMB_AMB_NPL	H3	AMB	NPL	NPL	10	FI	Standardbred
RMB_AMB_TTA	A4	AMB	TTA	TTA	10	FI	Standardbred
RMB_AMB_BAL_LCr	B4	AMB	BAL	LCr	10	FI	Standardbred
RMB_AMB_BAL_LCd	C4	AMB	BAL	LCd	10	FI	Standardbred
RMB_AMB_BAL_LD	D4	AMB	BAL	LD	10	FI	Standardbred
RMB_AMB_BAL_RCr	E4	AMB	BAL	RCr	10	FI	Standardbred
RMB_AMB_BAL_RCd	F4	AMB	BAL	RCd	10	FI	Standardbred
RMB_AMB_BAL_RD	G4	AMB	BAL	RD	10	FI	Standardbred
